product name,product price,product rating
SAMSUNG Galaxy F41 (Fusion Blue, 128 GB),RS.16499,4.32
SAMSUNG Galaxy F41 (Fusion Blue, 64 GB),RS.15499,4.32
SAMSUNG Galaxy M31 (Ocean Blue, 64 GB),RS.15473,4.38
SAMSUNG Galaxy F41 (Fusion Black, 128 GB),RS.16499,4.32
SAMSUNG Guru 1200,RS.1312,4.31
SAMSUNG Guru 1200,RS.1306,4.31
SAMSUNG Galaxy F41 (Fusion Green, 128 GB),RS.16499,4.32
SAMSUNG Guru FM Plus SM-B110E/D,RS.1449,4.354
SAMSUNG Guru FM Plus SM-B110E/D,RS.1449,4.354
SAMSUNG M01 core (Blue, 32 GB),RS.6045,3.96
SAMSUNG Guru FM Plus SM-B110E/D,RS.1449,4.354
SAMSUNG Galaxy F41 (Fusion Black, 64 GB),RS.15499,4.32
SAMSUNG Galaxy F41 (Fusion Green, 64 GB),RS.15499,4.32
SAMSUNG Guru 1200,RS.1356,4.31
SAMSUNG M01 core (Black, 32 GB),RS.6040,3.96
SAMSUNG Galaxy M01 (Black, 32 GB),RS.7899,4.217
SAMSUNG Guru GT,RS.1314,4.13
SAMSUNG Guru Music 2 SM-B310E,RS.1856,4.25
SAMSUNG Guru Music 2,RS.1882,4.31
SAMSUNG Galaxy A12 (Black, 128 GB),RS.13999,4.2655
SAMSUNG Metro 313 Dual Sim,RS.2295,4.311
SAMSUNG Metro 313 Dual Sim,RS.2266,4.320
SAMSUNG Galaxy A52 (Awesome Blue, 128 GB),RS.26499,4.638
SAMSUNG Galaxy A52 (Awesome Blue, 128 GB),RS.27999,4.628
